ID,License Plate Number,Enable or not,Start time,Expiration time,Time,Alarm,Blacklist or not,Unique code
236,QMU94,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,QMU94
237,WMN4818,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WMN4818
238,WVL8243,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVL8243
239,WVL7131,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVL7131
240,WVL8298,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVL8298
241,BNS8392,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNS8392
242,QLA88,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,QLA88
243,W138P,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W138P
244,BGP7007,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BGP7007
245,WWE1698,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWE1698
246,BNP588,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNP588
247,DCV9663,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,DCV9663
248,W893A,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W893A
249,VW8361,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VW8361
250,BFB1332,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BFB1332
251,BNG8928,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNG8928
252,MCK868,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,MCK868
253,NAX9898,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NAX9898
254,BLU2882,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BLU2882
255,W2928A,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W2928A
256,FC6913,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,FC6913
257,WPP7821,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WPP7821
